1. Do you use Facebook app on your phone?,2. How frequently do you use Facebook app on your phone?,3. How long have you been using Facebook app?,What do you feel about if this case happens?,,What do you feel about if this case happens?,What do you feel about if this case happens?,What do you feel about if this case happens?,What do you feel about if this case happens?,What do you feel about if this case happens?,At least 1,Half,"Which do you care more: the privacy that we ask you in above six questions, or the privacy that can be controlled by app permission?","12. Why do you care more for app permission or privacy settings if you chose the first or third option for question 11. Otherwise, please also clarify the reason for your choice in question 11.","13. For the question 11, if you chose the first option, write down ""privacy setting is better"", if you chose the third, write down ""app permission is better"". Otherwise, write down ""they are the same""."
Yes,Several times every day,3 and more years,Upset,1,Upset,Neutral,Upset,Neutral,Upset,,,It's the same level for me,Privacy is the most important thing on this app and so is safety.,they are the same
Yes,Several times every day,1-2 years,Very upset,1,Very upset,Very upset,Very upset,Very upset,Very upset,,,I care more about the privacy that is circled in the figure,Those are my personal messages. They should only be accessed by me.,App permission is better
Yes,Several times every week,1-2 years,Upset,1,Upset,Very upset,Very upset,Very upset,Very upset,,,It's the same level for me,They're both equally concerning.,they are the same
Yes,Several times every day,3 and more years,Upset,1,Upset,Neutral,Neutral,Upset,Very upset,,,I care more about the privacy that is circled in the figure,I feel that I don't have much control over what the app can access versus being able to go to the settings in my app and make changes.,app permission is better
Yes,Several times every day,1-2 years,Neutral,3,Upset,Neutral,I don't care,I don't care,Upset,,,It's the same level for me,Some things are more sensitive than others,they are the same
Yes,Several times every day,3 and more years,Upset,1,Upset,Very upset,Neutral,Very upset,Very upset,,,It's the same level for me,It's annoying that they can track/see my every move,they are the same
Yes,Several times every day,3 and more years,Upset,4,Upset,Upset,Neutral,Upset,Upset,,,I care more about the privacy that is described in above six questions,privacy is huge for me,privacy setting is better
Yes,Several times every day,3 and more years,Neutral,0,Upset,Very upset,Very upset,Very upset,Very upset,,,It's the same level for me,controlling my privacy is important across all apps,they are the same
Yes,Several times every day,3 and more years,Neutral,5,Neutral,Neutral,It might be okay,Upset,Upset,,,I don't care either of them,I don't post anything private nor do I message private things,they are the same
Yes,Several times every day,3 and more years,Upset,1,Upset,Very upset,Very upset,Upset,Very upset,,,I care more about the privacy that is described in above six questions,Because that something that feels more difficult to control and highly dependent on the honesty of Facebook.,privacy setting is better
Yes,Several times every week,1-2 years,Very upset,1,It might be okay,It might be okay,Upset,Neutral,Neutral,,,It's the same level for me,both can be used to give you more options for app permission,they are the same
Yes,Several times every day,3 and more years,I don't care,0,Very upset,Very upset,Very upset,Very upset,Very upset,,,I care more about the privacy that is described in above six questions,Privacy settings are more important,Privacy setting is better
Yes,Several times every day,1-2 years,Neutral,0,It might be okay,Upset,Upset,Upset,Neutral,,,It's the same level for me,I think these 6 issues really address my concerns,they are the same
Yes,Several times every day,3 and more years,I don't care,0,I don't care,I don't care,I don't care,I don't care,I don't care,,,It's the same level for me,They are equal to me.,they are the same
Yes,Several times every day,3 and more years,Very upset,1,Upset,Upset,Very upset,Upset,Upset,,,I care more about the privacy that is described in above six questions,I can control my own level,privacy setting is better
Yes,Several times every day,3 and more years,Neutral,5,I don't care,Neutral,I don't care,Neutral,It might be okay,,,It's the same level for me,They both have the same concerns for me.,they are the same
Yes,Several times every month,1-6 months,Neutral,0,Upset,Upset,It might be okay,Upset,Upset,,,I care more about the privacy that is circled in the figure,"Because I do not want that out there, Facebook has already been compromised before",app permission is better
Yes,Several times every day,0-31 days,Upset,1,Neutral,Neutral,Upset,I don't care,It might be okay,,,I care more about the privacy that is described in above six questions,its very important one,privacy setting is better
Yes,Several times every day,0-31 days,Upset,1,Upset,Very upset,It might be okay,I don't care,I don't care,,,I care more about the privacy that is described in above six questions,ITS VERY IMPORATNAT ONE,privacy setting is better
